"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1983,9650,"ram",3500,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1984,9200,"ram",2610,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1985,10100,"ram",2620,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1986,11500,"ram",7760,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1987,8350,"ram",2840,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1988,8800,"ram",3430,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1989,8110,"ram",3120,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1990,7910,"ram",3170,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1991,7990,"ram",3420,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1992,8540,"ram",2960,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1993,9040,"ram",4260,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1994,7800,"ram",2480,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1995,8640,"ram",4190,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1996,8230,"ram",4380,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1997,7510,"ram",3460,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1998,7270,"ram",2120,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",1999,8580,"ram",2520,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2000,10400,"ram",3930,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2001,12500,"ram",3830,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2002,14900,"ram",4450,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2003,15000,"ram",3490,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2004,14300,"ram",3340,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2005,13100,"ram",2780,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2006,12800,"ram",2710,NA
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","RAM",2007,12900,"ram",2810,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1981,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1982,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1983,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1984,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1985,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1986,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1987,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1988,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1989,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1990,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1991,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1992,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1993,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1994,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1995,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1996,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1997,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1998,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",1999,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",2000,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",2001,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",2002,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",2003,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Atlantic","RAM",2004,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1981,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1982,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1983,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1984,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1985,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1986,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1987,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1988,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1989,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1990,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1991,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1992,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1993,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1994,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1995,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1996,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1997,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1998,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",1999,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2000,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2001,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2002,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2003,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2004,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2005,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2006,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2007,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2008,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2009,NA,NA,NA,NA
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","RAM",2010,NA,NA,NA,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1976,NA,NA,NA,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1977,NA,NA,27400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1978,135002.7,"ram",40800,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1979,151162.6,"ram",44200,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1980,156422.2,"ram",53700,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1981,146360,"ram",48200,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1982,137731.8,"ram",62100,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1983,121975.6,"ram",54000,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1984,104305.7,"ram",40400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1985,88969.34,"ram",43100,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1986,80161.87,"ram",27400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1987,96652.87,"ram",32600,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1988,109844.7,"ram",42500,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1989,103989.2,"ram",35000,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1990,101833.4,"ram",44600,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1991,76727.06,"ram",39400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1992,61867.07,"ram",29800,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1993,49340.57,"ram",26200,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1994,33235.53,"ram",16100,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1995,31037.7,"ram",10000,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1996,34414.38,"ram",9920,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1997,32623.49,"ram",12400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1998,32365.11,"ram",10400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",1999,34939.21,"ram",11100,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2000,35940.42,"ram",10300,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2001,41379.29,"ram",13800,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2002,33038.51,"ram",11400,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2003,24158.37,"ram",9000,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2004,19152.29,"ram",5220,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2005,16344.04,"ram",5090,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2006,16860.8,"ram",4570,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2007,17715.06,"ram",5710,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2008,18603.24,"ram",5150,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2009,23778.88,"ram",4660,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2010,27723.99,"ram",4010,NA
"Hilborn et al. (2017)","Atlantic cod Georges Bank","RAM",2011,35877.44,"ram",4530,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1976,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1977,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1978,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1979,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1980,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1981,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1982,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1983,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1984,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1985,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1986,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1987,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1988,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1989,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1990,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1991,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1992,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1993,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1994,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1995,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1996,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1997,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1998,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",1999,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2000,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2001,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2002,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2003,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2004,NA,NA,NA,NA
"Hilborn et al. (2017)","Finetooth shark Atlantic","RAM",2005,NA,NA,NA,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1928,43700,"ram",46,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1929,43700,"ram",142,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1930,43600,"ram",113,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1931,43500,"ram",61,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1932,43600,"ram",68,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1933,43600,"ram",104,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1934,43500,"ram",76,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1935,43600,"ram",72,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1936,43600,"ram",104,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1937,43600,"ram",75,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1938,43600,"ram",158,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1939,43600,"ram",163,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1940,43600,"ram",232,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1941,43500,"ram",628,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1942,43000,"ram",517,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1943,42700,"ram",676,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1944,42300,"ram",1300,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1945,41300,"ram",801,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1946,40800,"ram",889,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1947,40400,"ram",348,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1948,40500,"ram",546,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1949,40500,"ram",561,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1950,39900,"ram",487,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1951,39600,"ram",512,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1952,39200,"ram",335,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1953,39100,"ram",207,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1954,39500,"ram",311,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1955,39600,"ram",556,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1956,39100,"ram",426,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1957,39100,"ram",471,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1958,39000,"ram",580,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1959,39000,"ram",515,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1960,38300,"ram",893,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1961,37300,"ram",786,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1962,36800,"ram",663,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1963,37400,"ram",521,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1964,37800,"ram",633,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1965,37700,"ram",642,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1966,40800,"ram",644,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1967,43600,"ram",862,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1968,44200,"ram",1170,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1969,43900,"ram",934,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1970,43300,"ram",750,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1971,43100,"ram",1140,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1972,44300,"ram",1130,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1973,44200,"ram",1540,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1974,43000,"ram",1650,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1975,41100,"ram",1810,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1976,39000,"ram",1740,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1977,36900,"ram",1570,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1978,34500,"ram",1420,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1979,32700,"ram",2210,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1980,30800,"ram",1290,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1981,29500,"ram",2300,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1982,27700,"ram",3160,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1983,24900,"ram",3440,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1984,22300,"ram",3210,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1985,19400,"ram",3400,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1986,16200,"ram",1580,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1987,15900,"ram",2050,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1988,14400,"ram",2020,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1989,12800,"ram",2520,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1990,10700,"ram",1980,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1991,9110,"ram",2510,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1992,7480,"ram",1510,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1993,7450,"ram",1730,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1994,7300,"ram",1580,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1995,7070,"ram",1060,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1996,7470,"ram",1220,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1997,7640,"ram",1220,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1998,7760,"ram",298,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",1999,8510,"ram",341,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2000,9180,"ram",170,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2001,11000,"ram",185,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2002,13600,"ram",290,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2003,16700,"ram",296,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2004,19900,"ram",286,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2005,22500,"ram",330,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2006,25200,"ram",371,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2007,27100,"ram",358,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2008,29800,"ram",350,NA
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","RAM",2009,31800,"ram",NA,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1974,26600,"ram",29400,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1975,8030,"ram",26700,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1976,24300,"ram",27200,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1977,25100,"ram",25500,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1978,25200,"ram",27900,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1979,17500,"ram",30900,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1980,54500,"ram",37100,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1981,86100,"ram",40800,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1982,38200,"ram",38500,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1983,40400,"ram",34400,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1984,95200,"ram",34900,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1985,39800,"ram",42100,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1986,42200,"ram",42400,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1987,35400,"ram",44300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1988,96700,"ram",42300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1989,153000,"ram",42800,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1990,77200,"ram",37600,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1991,192000,"ram",39700,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1992,146000,"ram",34200,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1993,73200,"ram",21100,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1994,161000,"ram",15300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1995,56100,"ram",9820,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1996,41800,"ram",9250,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1997,97600,"ram",12000,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1998,34000,"ram",14400,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",1999,43000,"ram",7790,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2000,91900,"ram",5660,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2001,30000,"ram",6300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2002,13000,"ram",7450,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2003,20600,"ram",8300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2004,15100,"ram",8980,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2005,28800,"ram",6300,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2006,19100,"ram",4170,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2007,26200,"ram",5450,NA
"Hilborn et al. (2017)","Pollock NAFO-4VWX5","RAM",2008,26100,"ram",NA,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1960,NA,NA,10400,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1961,NA,NA,8220,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1962,NA,NA,6150,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1963,NA,NA,6240,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1964,NA,NA,9000,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1965,NA,NA,8990,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1966,NA,NA,9910,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1967,NA,NA,8480,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1968,NA,NA,5150,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1969,NA,NA,9840,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1970,319000,"ram",11600,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1971,354000,"ram",14300,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1972,359000,"ram",13000,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1973,299000,"ram",13100,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1974,292000,"ram",12000,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1975,316000,"ram",13500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1976,304000,"ram",12700,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1977,286000,"ram",15500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1978,274000,"ram",21500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1979,270000,"ram",17600,NA
