Predator,Importance,ImportanceMean,Prey,PreyInAbund,Predator_type,Region,PredName
Goosefish  Mid Atlantic Bight,4.1,4.1,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Mid Atlantic Bight,Goosefish
Goosefish  South New England,4.8,4.8,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,South New England,Goosefish
Gray seal  Nantucket Sound,1,1,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,pinnipeds,Nantucket Sound,Gray seal
Gray seal  Scotian shelf,47.4,23.9,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,pinnipeds,Scotian shelf,Gray seal
Haddock  Georges Bank,2.5,2.5,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Haddock
Long-finned and Short-finnd pilot whale  Off New Jersey,8.34,8.34,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cetaceans,Off New Jersey,Long-finned and Short-finnd pilot whale
Long-finned pilot whale  Southern New England,17.2,17.2,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cetaceans,Southern New England,Long-finned pilot whale
Pollock  Georges Bank,1.7,1.7,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Pollock
Pollock  North West Atlantic,9,9,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,North West Atlantic,Pollock
Pollock  Scotian shelf,2,2,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Scotian shelf,Pollock
Porbeagle shark  FromGeorges Bank_To_Grand Banks of Newfoundland,3.11,3.11,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,FromGeorges Bank_To_Grand Banks of Newfoundland,Porbeagle shark
Red hake  Inshore of North Cape Hatteras,5.1,5.1,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Inshore of North Cape Hatteras,Red hake
Shortfin mako shark  ,0.6,0.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,,Shortfin mako shark
Shortfin mako shark  North Atlantic Bight,0.6,0.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,North Atlantic Bight,Shortfin mako shark
Silver hake  Georges Bank,21.1,18.85,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Silver hake
Silver hake  North West Atlantic,9,9,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,North West Atlantic,Silver hake
Silver hake  Scotian shelf,3.4,3.4,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Scotian shelf,Silver hake
Silver hake  South New England,20.6,20.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,South New England,Silver hake
Silver hake  Southern New England,6,6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Southern New England,Silver hake
Spiny dogfish  Scotian shelf,25.8,25.8,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,Scotian shelf,Spiny dogfish
Striped bass  Cape Cod Bay,0.4,0.4,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Cape Cod Bay,Striped bass
Striped bass  North Shore,1.6,1.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,North Shore,Striped bass
Summer flounder  Georges Bank,6,6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Summer flounder
Summer flounder  Mid Atlantic Bight,3.6,3.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Mid Atlantic Bight,Summer flounder
Summer flounder  South New England,2.6,2.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,South New England,Summer flounder
Swordfish  ,5.4,5.4,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,,Swordfish
Western Atlantic harbor seal   Gulf of Maine,1.6,1.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,pinnipeds,Gulf of Maine,Western Atlantic harbor seal 
White hake  Scotian shelf,2.7,2.7,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Scotian shelf,White hake
Winter skate  South New England,2.8,2.8,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,South New England,Winter skate
Albacore tuna  Cape Cod_Islands of Massachussetts,32.8,32.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Cape Cod_Islands of Massachussetts,Albacore tuna
Albacore tuna  Grand Banks of Newfoundland,71.1,71.1,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Albacore tuna
Atlantic cod  Gulf of Maine,29.2,29.2,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Gulf of Maine,Atlantic cod
Atlantic halibut  Georges Bank,8.2,8.2,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Georges Bank,Atlantic halibut
Atlantic halibut  North Atlantic Bight,9,9,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,North Atlantic Bight,Atlantic halibut
Barrelfish   CharlestonBump-Off GA Coast,2.8,2.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,CharlestonBump-Off GA Coast,Barrelfish 
Bigeye thresher shark  ,11.9,11.9,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Bigeye thresher shark
Bigeye tuna  Grand Banks of Newfoundland,61.8,61.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Bigeye tuna
Blue shark  ,3.7,3.7,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Blue shark
Bluefish  Georges Bank,6,6,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Georges Bank,Bluefish
Bluefish  South New England,1.8,1.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,South New England,Bluefish
Bluefish adult NewJersey_to_Massachusset Coast,15,8.35,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Bluefish
Common thresher shark  ,2.2,2.2,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Common thresher shark
Dolphinfish  Cape Cod_Islands of Massachussetts,21.7,21.7,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Cape Cod_Islands of Massachussetts,Dolphinfish
Dolphinfish  Grand Banks of Newfoundland,42.5,42.5,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Dolphinfish
Fourspot flounder  Mid Atlantic Bight,3.3,3.3,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Fourspot flounder
Goosefish  Georges Bank,40.8,40.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Georges Bank,Goosefish
Goosefish  Gulf of Maine,8,8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Gulf of Maine,Goosefish
Goosefish  Inshore of North Cape Hatteras,46,46,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Goosefish
Goosefish  Southern New England,3.9,3.9,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Southern New England,Goosefish
Harbor porpoise  Bay of Fundy,1,1,Shortfin squid,Shortfin squid Atlantic Coast,cetaceans,Bay of Fundy,Harbor porpoise
Harbor porpoise  Gulf of Maine,1,1,Shortfin squid,Shortfin squid Atlantic Coast,cetaceans,Gulf of Maine,Harbor porpoise
Harbor seal  Southern New England,58.4,58.4,Shortfin squid,Shortfin squid Atlantic Coast,pinnipeds,Southern New England,Harbor seal
Long-finned pilot whale  Southern New England,4.8,4.8,Shortfin squid,Shortfin squid Atlantic Coast,cetaceans,Southern New England,Long-finned pilot whale
Longbill spearfish  Grand Banks of Newfoundland,63.8,63.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Longbill spearfish
Night shark  ,38.8,38.8,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Night shark
Offshore hake  Mid Atlantic Bight,31.8,31.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Offshore hake
Pollock  Georges Bank,4.6,4.6,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Georges Bank,Pollock
Porbeagle shark  ,69.5,69.5,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Porbeagle shark
Porbeagle shark  FromGeorges Bank_To_Grand Banks of Newfoundland,5.41,5.41,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,FromGeorges Bank_To_Grand Banks of Newfoundland,Porbeagle shark
Red hake  Mid Atlantic Bight,2,2,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Red hake
Sandbar shark  Gulf of Maine,1.64,1.64,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,Gulf of Maine,Sandbar shark
Sea raven  Gulf of Maine,1.3,1.3,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Gulf of Maine,Sea raven
Shortfin mako shark  ,1.2,1.2,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Shortfin mako shark
Shortfin mako shark  Grand Banks of Newfoundland,100,100,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,Grand Banks of Newfoundland,Shortfin mako shark
Shortfin mako shark  North Atlantic Bight,1.2,1.2,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,North Atlantic Bight,Shortfin mako shark
Silky shark  ,29.2,29.2,Shortfin squid,Shortfin squid Atlantic Coast,cartilaginous fishes,,Silky shark
Silver hake  Scotian shelf,21.3,21.3,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Scotian shelf,Silver hake
Silver hake adult NewJersey_to_Massachusset Coast,0.2,0.2,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Silver hake
Spotted hake  Georges Bank,4.8,4.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Georges Bank,Spotted hake
Spotted hake  Mid Atlantic Bight,0.95,0.95,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Spotted hake
Striped bass  Cape Cod Bay,0.1,0.1,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Cape Cod Bay,Striped bass
Striped bass  Nantucket Sound,0.1,0.1,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Nantucket Sound,Striped bass
Striped bass  North Shore,0.9,0.9,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,North Shore,Striped bass
Summer flounder adult NewJersey_to_Massachusset Coast,5.3,5.3,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Summer flounder
Swordfish  ,25.5,25.5,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,,Swordfish
Swordfish  Grand Banks of Newfoundland,70.2,70.2,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Swordfish
Weakfish  Inshore of South Cape Hatteras,19,19,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Inshore of South Cape Hatteras,Weakfish
White hake  Gulf of Maine,21.8,21.8,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Gulf of Maine,White hake
White hake  Scotian shelf,40.1,40.1,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Scotian shelf,White hake
White marlin  Grand Banks of Newfoundland,54.1,54.1,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,White marlin
Wreckfish   CharlestonBump-Off GA Coast,2.86,2.86,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,CharlestonBump-Off GA Coast,Wreckfish 
Yellowfin tuna  Cape Cod_Islands of Massachussetts,31.6,31.6,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Cape Cod_Islands of Massachussetts,Yellowfin tuna
Yellowfin tuna  Grand Banks of Newfoundland,69.5,69.5,Shortfin squid,Shortfin squid Atlantic Coast,bony fishes,Grand Banks of Newfoundland,Yellowfin tuna
Atlantic bluefin tuna adult Cape Lookout,1.11,0.425,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Cape Lookout,Atlantic bluefin tuna
Atlantic bluefin tuna juvenile Mid-Atlantic Bight,3.71,3.71,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid-Atlantic Bight,Atlantic bluefin tuna
Atlantic cod  Gulf of Maine,6.9,6.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Gulf of Maine,Atlantic cod
Atlantic mackerel  Mid Atlantic Bight,2,2,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Atlantic mackerel
Atlantic mackerel  South New England,1.8,1.8,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Atlantic mackerel
Black sea bass  Inshore of North Cape Hatteras,4.2,4.2,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Black sea bass
Black sea bass  Middle Atlantic,0.4,0.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Middle Atlantic,Black sea bass
Bluefish  Georges Bank,4.7,4.7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Georges Bank,Bluefish
Bluefish  Inshore of North Cape Hatteras,7,7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Bluefish
Bluefish  Mid Atlantic Bight,13.2,13.2,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Bluefish
Bluefish  South New England,11.8,11.8,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Bluefish
Bluefish adult Georges Bank,23.7,20.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Georges Bank,Bluefish
Bluefish adult Hatteras-Montauk,10.9,8.05,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Hatteras-Montauk,Bluefish
Bluefish adult NewJersey_to_Massachusset Coast,44.9,21.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Bluefish
Bluefish juvenile Chesapeake-Delaware,7.9,3.466666667,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Chesapeake-Delaware,Bluefish
Bluefish juvenile South of Chesapeake,4.2,4.2,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South of Chesapeake,Bluefish
Bluefish juvenile Southern New England,14.8,4.95,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Southern New England,Bluefish
Dusky shark juvenile ,24.7,24.7,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,,Dusky shark
Fourspot flounder  Georges Bank,5.5,5.5,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Georges Bank,Fourspot flounder
Fourspot flounder  Mid Atlantic Bight,26.4,26.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Fourspot flounder
Fourspot flounder  North Atlantic Bight,15,10.8,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,North Atlantic Bight,Fourspot flounder
Fourspot flounder  South New England,26.3,26.3,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Fourspot flounder
Goosefish  Georges Bank,3.3,3.3,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Georges Bank,Goosefish
Goosefish  Inshore of North Cape Hatteras,7.3,7.3,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Goosefish
Goosefish  Southern New England,0.9,0.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Southern New England,Goosefish
Goosefish adult NewJersey_to_Massachusset Coast,4.9,2.7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Goosefish
Gray seal  Nantucket Sound,1.4,1.4,Longfin squid,Longfin inshore squid Atlantic Coast,pinnipeds,Nantucket Sound,Gray seal
Harbor porpoise  Bay of Fundy,1,1,Longfin squid,Longfin inshore squid Atlantic Coast,cetaceans,Bay of Fundy,Harbor porpoise
Harbor porpoise  Gulf of Maine,1,1,Longfin squid,Longfin inshore squid Atlantic Coast,cetaceans,Gulf of Maine,Harbor porpoise
Harbor seal  Southern New England,3.7,3.7,Longfin squid,Longfin inshore squid Atlantic Coast,pinnipeds,Southern New England,Harbor seal
Long-finned pilot whale  Southern New England,77.1,77.1,Longfin squid,Longfin inshore squid Atlantic Coast,cetaceans,Southern New England,Long-finned pilot whale
Offshore hake  Mid Atlantic Bight,21.3,21.3,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Offshore hake
Pollock  Gulf of Maine,28.9,28.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Gulf of Maine,Pollock
Pollock  Scotian shelf,80.9,42.25,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Scotian shelf,Pollock
Red hake  Southern New England,5.6,5.6,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Southern New England,Red hake
Scup  Inshore of North Cape Hatteras,0.9,0.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Scup
Shortfin mako shark  ,22.9,11.5,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,,Shortfin mako shark
Silver hake  Inshore of North Cape Hatteras,29.7,29.7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Silver hake
Silver hake  North West Atlantic,12.7,12.7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,North West Atlantic,Silver hake
Silver hake  Scotian shelf,3.3,2.7,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Scotian shelf,Silver hake
Silver hake  Southern New England,2.4,2.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Southern New England,Silver hake
Silver hake adult NewJersey_to_Massachusset Coast,12.3,7.5,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Silver hake
Silver hake juvenile NewJersey_to_Massachusset Coast,0,0,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Silver hake
Smooth dogfish  Mid Atlantic Bight,4,4,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,Mid Atlantic Bight,Smooth dogfish
Smooth dogfish  South New England,2.7,2.7,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,South New England,Smooth dogfish
Smooth dogfish juvenile ,3.5,3.5,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,,Smooth dogfish
Spotted hake  Mid Atlantic Bight,9.8,9.8,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Mid Atlantic Bight,Spotted hake
Spotted hake  South New England,10,10,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Spotted hake
Striped bass  North Carolina Coast,0.1,0.1,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,North Carolina Coast,Striped bass
Striped bass  South New England,5.9,5.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Striped bass
Summer flounder  Inshore of North Cape Hatteras,16.9,16.9,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Summer flounder
Summer flounder  North Atlantic Bight,24,14.8,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,North Atlantic Bight,Summer flounder
Summer flounder  Southern New England,24.4,24.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Southern New England,Summer flounder
Summer flounder adult NewJersey_to_Massachusset Coast,25.4,20.05,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Summer flounder
Summer flounder juvenile NewJersey_to_Massachusset Coast,15.3,15.3,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,NewJersey_to_Massachusset Coast,Summer flounder
Weakfish  South New England,5.4,5.4,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,South New England,Weakfish
White hake  Gulf of Maine,1.5,1.5,Longfin squid,Longfin inshore squid Atlantic Coast,bony fishes,Gulf of Maine,White hake
White-sided dolphin  Cape Cod Bay,16,16,Longfin squid,Longfin inshore squid Atlantic Coast,cetaceans,Cape Cod Bay,White-sided dolphin
Winter skate  Georges Bank,2,2,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,Georges Bank,Winter skate
Winter skate  South New England,1.1,1.1,Longfin squid,Longfin inshore squid Atlantic Coast,cartilaginous fishes,South New England,Winter skate
Atlantic sharpnose shark adult Apalachicola Bay-Florida,0.27,0.27,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,Apalachicola Bay-Florida,Atlantic sharpnose shark
Atlantic sharpnose shark juvenile Apalachicola Bay-Florida,7.06,7.06,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,Apalachicola Bay-Florida,Atlantic sharpnose shark
Blacktip shark juvenile Apalachicola Bay-Florida,67.53,50.36,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,Apalachicola Bay-Florida,Blacktip shark
Blacktip shark juvenile OffLousianaCoast,46.95,35.975,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,OffLousianaCoast,Blacktip shark
Finetooth shark juvenile Apalachicola Bay-Florida,74.66,74.66,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,Apalachicola Bay-Florida,Finetooth shark
Red drum juvenile Galveston Bay-Texas ,68.82,38.925,Gulf menhaden,Gulf menhaden Gulf of Mexico,bony fishes,Galveston Bay-Texas ,Red drum
Spinner shark juvenile Apalachicola Bay-Florida,67.05,67.05,Gulf menhaden,Gulf menhaden Gulf of Mexico,cartilaginous fishes,Apalachicola Bay-Florida,Spinner shark
